
Ultra Bronzer,Bourjois,Concealer,Weekly,62.82,3.7,7248,150ml,Dry,Unisex,Stick,Shea Butter,False,South Korea
Divine Makeup Remover,Drunk Elephant,Lip Gloss,Monthly,125.06,1.7,5419,250ml,Normal,Female,Compact,Shea Butter,False,Italy
Super Bronzer,Bourjois,Setting Spray,Weekly,61.77,2.2,8327,50ml,Dry,Unisex,Compact,Shea Butter,True,UK
Magic BB Cream,Milk Makeup,Face Oil,Weekly,15.15,2.3,3862,50ml,Sensitive,Unisex,Stick,Hyaluronic Acid,False,Japan
Divine BB Cream,Drunk Elephant,Serum,Monthly,103.68,1.6,1049,50ml,Sensitive,Female,Spray,Vitamin C,True,UK
Magic Face Oil,Ilia Beauty,Highlighter,Daily,21.6,3.7,5484,100ml,Oily,Unisex,Stick,Vitamin C,False,South Korea
Perfect Highlighter,Drunk Elephant,Highlighter,Monthly,140.2,4.0,1238,100ml,Sensitive,Unisex,Compact,Retinol,False,USA
Super Face Mask,Make Up For Ever,Face Oil,Daily,128.2,1.9,2902,100ml,Normal,Unisex,Spray,Hyaluronic Acid,False,Japan
Super Eyeliner,Shiseido,BB Cream,Occasional,114.9,4.6,5655,100ml,Combination,Male,Bottle,Shea Butter,True,Japan
Perfect Face Oil,Farsali,Lipstick,Monthly,47.87,4.5,4792,30ml,Normal,Male,Bottle,Retinol,True,USA
Super Exfoliator,Milk Makeup,Eye Shadow,Occasional,25.89,2.7,6870,250ml,Combination,Female,Stick,Retinol,True,France
Perfect Mascara,Charlotte Tilbury,Lip Liner,Occasional,111.31,2.0,1383,30ml,Dry,Male,Bottle,Hyaluronic Acid,True,UK
Super Lip Liner,Charlotte Tilbury,Mascara,Daily,129.15,1.5,2297,30ml,Sensitive,Male,Tube,Aloe Vera,True,Germany
Super Powder,Urban Decay,Foundation,Weekly,73.2,2.5,2356,150ml,Oily,Male,Bottle,Vitamin C,False,Australia
Ultra Eyeliner,Becca,Highlighter,Weekly,88.04,3.1,5516,50ml,Oily,Male,Compact,Retinol,False,France
Super Bronzer,Tarte,Eye Shadow,Daily,18.53,4.8,9147,100ml,Dry,Female,Tube,Hyaluronic Acid,False,Italy
Ultra BB Cream,Perricone MD,Lip Liner,Occasional,96.18,3.0,494,250ml,Normal,Unisex,Spray,Aloe Vera,True,Australia
Divine Moisturizer,Perricone MD,Lip Liner,Occasional,122.76,3.1,3053,250ml,Normal,Female,Compact,Shea Butter,True,Germany
Ultra Setting Spray,Juvia’s Place,Moisturizer,Occasional,47.5,2.1,8825,200ml,Dry,Female,Bottle,Glycerin,True,Germany
Perfect Face Oil,Huda Beauty,Foundation,Daily,145.82,1.6,239,30ml,Normal,Unisex,Stick,Aloe Vera,True,Italy
Ultra Cleanser,Morphe,BB Cream,Daily,80.02,3.1,9208,30ml,Oily,Unisex,Jar,Retinol,False,South Korea
Divine Exfoliator,Make Up For Ever,Moisturizer,Daily,99.14,3.7,5485,30ml,Sensitive,Female,Tube,Retinol,False,USA
Super Setting Spray,Shiseido,Foundation,Occasional,83.85,2.6,8032,200ml,Normal,Female,Spray,Retinol,True,UK
Perfect Serum,IT Cosmetics,Concealer,Daily,23.66,1.3,698,30ml,Combination,Male,Spray,Hyaluronic Acid,True,Japan
Perfect Contour,Bourjois,Setting Spray,Weekly,35.03,2.6,8568,150ml,Sensitive,Male,Spray,Retinol,False,Germany
Super Moisturizer,Kylie Cosmetics,Face Oil,Weekly,145.43,4.1,3835,250ml,Combination,Male,Stick,Salicylic Acid,True,USA
Super Foundation,Perricone MD,Moisturizer,Daily,138.81,3.7,9132,150ml,Oily,Male,Jar,Glycerin,False,USA
Magic Bronzer,Anastasia Beverly Hills,Blush,Weekly,84.8,2.1,8540,100ml,Sensitive,Unisex,Compact,Vitamin C,True,UK
Perfect Exfoliator,Ilia Beauty,Mascara,Occasional,121.76,5.0,4782,30ml,Sensitive,Female,Tube,Aloe Vera,True,Germany
Ultra Contour,Bobby Brown,Primer,Daily,57.67,4.3,1070,250ml,Oily,Male,Spray,Hyaluronic Acid,False,UK
Super Concealer,Milk Makeup,Mascara,Daily,103.55,3.7,5116,250ml,Oily,Female,Jar,Hyaluronic Acid,False,Germany
Divine Foundation,Urban Decay,Makeup Remover,Monthly,20.44,3.5,6224,200ml,Oily,Unisex,Spray,Shea Butter,False,France
Divine Lip Gloss,Hourglass,Blush,Occasional,58.77,3.7,1634,250ml,Combination,Unisex,Tube,Hyaluronic Acid,False,Germany
Perfect Serum,Clinique,Face Mask,Occasional,83.24,2.1,2934,30ml,Normal,Unisex,Stick,Glycerin,True,UK
Perfect Contour,Becca,Blush,Occasional,143.59,4.2,4783,200ml,Oily,Female,Jar,Retinol,False,Germany
Ultra Eye Shadow,Charlotte Tilbury,Contour,Occasional,144.25,4.6,5926,250ml,Sensitive,Male,Stick,Hyaluronic Acid,True,France
Perfect Face Oil,Laura Mercier,Setting Spray,Daily,60.74,4.1,213,50ml,Oily,Female,Tube,Salicylic Acid,False,France
Magic Eye Shadow,KVD Beauty,Serum,Occasional,22.1,2.5,7477,100ml,Oily,Female,Spray,Vitamin C,True,USA
Magic Contour,Huda Beauty,Lip Gloss,Monthly,30.94,1.2,7692,150ml,Normal,Unisex,Jar,Retinol,False,Germany
Perfect Lipstick,Perricone MD,Powder,Monthly,62.64,2.8,2173,250ml,Dry,Male,Bottle,Shea Butter,True,Japan
Super CC Cream,NARS,Exfoliator,Weekly,120.9,4.0,6190,250ml,Dry,Unisex,Tube,Aloe Vera,True,Germany
Super Blush,Bourjois,BB Cream,Weekly,128.44,3.1,9511,50ml,Combination,Female,Spray,Glycerin,False,Japan
Ultra Foundation,Shiseido,Eyeliner,Weekly,30.53,2.5,8234,30ml,Oily,Female,Tube,Salicylic Acid,False,UK
Magic Concealer,Kiehl’s,Concealer,Daily,127.02,2.4,9961,250ml,Combination,Male,Spray,Hyaluronic Acid,True,Japan
Magic Eyeliner,Urban Decay,Lipstick,Occasional,121.88,1.5,4978,50ml,Dry,Male,Tube,Shea Butter,True,UK
Magic Makeup Remover,Bourjois,Concealer,Monthly,103.18,1.5,9883,200ml,Dry,Male,Tube,Vitamin C,True,South Korea
Perfect Concealer,NARS,Mascara,Weekly,58.98,1.4,7354,250ml,Dry,Unisex,Tube,Salicylic Acid,True,USA
Super Face Mask,Juvia’s Place,Bronzer,Occasional,129.44,3.4,7914,100ml,Combination,Unisex,Stick,Retinol,False,UK
Divine Cleanser,Kylie Cosmetics,Face Mask,Weekly,37.08,4.1,6039,200ml,Sensitive,Unisex,Spray,Hyaluronic Acid,False,UK
Ultra Setting Spray,Natasha Denona,Eyeliner,Daily,72.68,4.0,8182,150ml,Dry,Unisex,Jar,Vitamin C,True,USA
Divine Exfoliator,Milk Makeup,Moisturizer,Occasional,115.16,4.1,1789,50ml,Oily,Unisex,Jar,Hyaluronic Acid,True,Australia
Perfect Powder,Ilia Beauty,Makeup Remover,Weekly,127.01,4.3,1499,50ml,Sensitive,Male,Stick,Vitamin C,True,UK
Perfect Highlighter,Glossier,Blush,Daily,128.24,1.6,2121,250ml,Dry,Female,Jar,Salicylic Acid,True,France
Ultra Mascara,Tarte,Bronzer,Occasional,104.96,4.6,5736,250ml,Oily,Unisex,Stick,Shea Butter,True,France
Super Face Oil,Tarte,Serum,Occasional,126.63,4.9,65,200ml,Dry,Female,Stick,Salicylic Acid,True,South Korea
Magic Face Mask,Charlotte Tilbury,Highlighter,Weekly,34.14,4.8,7631,100ml,Combination,Male,Stick,Hyaluronic Acid,True,Australia
Ultra Contour,Perricone MD,Concealer,Daily,14.22,2.7,2534,100ml,Oily,Female,Tube,Hyaluronic Acid,True,Australia
Magic Primer,Kiehl’s,Primer,Occasional,102.18,4.5,5522,100ml,Oily,Unisex,Spray,Retinol,True,France
Perfect Eye Shadow,Pat McGrath Labs,Eyeliner,Weekly,145.3,4.3,8041,250ml,Dry,Female,Jar,Shea Butter,False,UK
Magic Moisturizer,Becca,Serum,Daily,79.42,2.0,4221,200ml,Dry,Male,Stick,Shea Butter,True,France
Super Lipstick,Fenty Beauty,BB Cream,Weekly,92.45,2.5,4163,50ml,Combination,Female,Spray,Salicylic Acid,True,UK
Perfect Face Oil,NARS,Foundation,Daily,17.08,2.3,4465,250ml,Normal,Female,Spray,Vitamin C,False,UK
Divine Setting Spray,Anastasia Beverly Hills,Mascara,Monthly,26.81,1.8,5358,30ml,Sensitive,Unisex,Stick,Vitamin C,False,USA
Magic Makeup Remover,Danessa Myricks,BB Cream,Occasional,12.43,3.2,9177,200ml,Combination,Male,Compact,Retinol,False,Japan
Ultra Contour,Urban Decay,Eyeliner,Occasional,60.05,4.8,6648,250ml,Normal,Female,Bottle,Hyaluronic Acid,False,South Korea
Magic Lip Liner,Make Up For Ever,Lipstick,Occasional,74.62,4.3,6837,150ml,Oily,Male,Bottle,Hyaluronic Acid,True,UK
Perfect Lip Liner,Milk Makeup,Mascara,Weekly,112.54,1.4,6054,200ml,Oily,Female,Spray,Hyaluronic Acid,False,Australia
Divine Eyeliner,Huda Beauty,Lip Liner,Daily,82.19,1.7,8550,250ml,Normal,Female,Bottle,Glycerin,True,Italy
Divine Lip Gloss,Ilia Beauty,Primer,Weekly,146.92,1.6,8530,50ml,Oily,Male,Tube,Retinol,False,Italy
Ultra Powder,ColourPop,Bronzer,Daily,16.72,3.1,5130,150ml,Normal,Male,Stick,Salicylic Acid,True,Germany
Super Eyeliner,Tatcha,Serum,Weekly,72.67,3.3,2303,30ml,Oily,Male,Compact,Hyaluronic Acid,False,UK
Divine Serum,Juvia’s Place,BB Cream,Weekly,140.47,2.3,2071,30ml,Dry,Female,Bottle,Hyaluronic Acid,True,Australia
Ultra Eyeliner,Drunk Elephant,Lipstick,Daily,37.27,3.5,5780,150ml,Oily,Female,Spray,Glycerin,True,Italy
Ultra Face Oil,Urban Decay,Contour,Daily,87.14,3.1,3581,250ml,Oily,Female,Bottle,Hyaluronic Acid,True,UK
Magic Lipstick,ColourPop,Blush,Occasional,88.39,3.4,7738,50ml,Sensitive,Unisex,Spray,Salicylic Acid,False,Italy
Magic Eyeliner,Charlotte Tilbury,Face Oil,Weekly,31.99,2.0,2651,150ml,Dry,Female,Stick,Retinol,True,South Korea
Perfect Eyeliner,Laura Mercier,Highlighter,Weekly,62.07,4.2,2078,30ml,Oily,Unisex,Spray,Hyaluronic Acid,True,UK
Magic Serum,KVD Beauty,Face Oil,Monthly,106.48,5.0,8626,200ml,Normal,Unisex,Bottle,Retinol,True,UK
Magic Blush,ColourPop,Cleanser,Daily,32.72,4.4,312,250ml,Dry,Female,Stick,Vitamin C,False,UK
